Sample	Control-Sample 1	Control-Sample 2	Control-Sample 3	Control-Sample 4	Control-Sample 5	Control-Sample 6	Control-Sample 7	Control-Sample 8	Control-Sample 9	Control-Sample 10	Control-Sample 11
BAG6	9.332818593	9.430956158	9.371865184	8.170422919	8.182591834	9.011703352	9.040532482	9.184648311	8.818839889	8.488969155	8.208877649
BAGE3	6.670599602	6.713847004	6.544375647	9.716118088	9.157629888	6.679944502	6.592343411	6.696800651	8.703311843	8.275048964	8.930672297
BAHCC1	7.142648286	7.278728213	7.205558685	7.514374789	7.7819039	7.13008658	7.063211699	7.19519009	7.857141252	8.062596659	7.916452759
BAHD1	7.600388704	7.738335504	7.851505449	7.827495144	7.898964094	7.753250183	7.550400497	7.569977093	7.850036777	7.915401388	7.695388389
BAI1	7.274690305	7.224541981	7.242431019	7.551516018	7.977171145	7.421290635	7.117923562	7.431973897	8.073868422	8.211425974	8.11306493
BAI2	7.343851933	7.522565839	7.311448621	8.203719948	8.213099358	7.662825008	7.277687254	7.629699037	8.303794445	8.264437909	8.459980722
BAI3	5.332861861	5.673830578	5.584595769	6.528402536	6.454037672	5.476906562	5.500951795	5.296402342	6.224623009	6.448981869	6.62093971
BAIAP2	6.942268171	7.134303095	7.21864557	7.526154907	7.639716936	7.335032987	6.995993217	6.887281552	7.912703749	7.474598281	7.651302885
BAIAP2-AS1	7.01884556	7.231317197	7.232037117	7.698489375	8.270827916	7.288173968	6.955649908	7.213619463	8.096620289	8.406107192	7.896338459
BAIAP2L1	5.693966382	5.654988247	5.614562623	5.94687821	6.136738939	5.690277401	5.573898596	5.779553903	6.130955573	5.858309295	6.102364188
BAIAP2L2	7.333056931	7.438400983	7.384075717	7.844755972	8.028071814	7.537039752	7.255198566	7.419783253	7.902899636	8.211902892	8.145621417
BAIAP3	7.724970805	7.863746458	7.553406585	8.226826396	8.110833012	7.683366618	7.322324781	7.763411574	8.283162454	8.512290106	8.311575772
BAK1	8.502390278	8.256958742	8.156442125	7.290829847	7.17292749	7.413213253	7.791625258	7.107844766	7.588324868	7.656131646	6.648709898
BAK1P2	7.73723382	7.59819397	7.650987091	8.132283791	8.587079904	7.845709575	7.389334489	7.456477629	8.353213003	8.445093499	8.360311597
BAMBI	5.963483372	6.101021785	5.834076586	7.275668255	6.997529525	6.052841892	6.021659609	6.036184604	6.790524444	6.724022639	7.002016109
BANF1	9.440512082	9.361761781	9.419256561	9.701075959	9.798377833	9.587331234	9.306018385	9.368384231	10.16721741	10.04813263	10.11868157
BANF1P3	9.715191547	9.708161365	9.637892765	7.682446887	7.727995309	9.012280933	9.096757315	8.957734715	8.32323945	7.721222257	8.170876466
BANF2	6.013299222	5.995701585	5.992455753	7.487735545	7.165550215	6.011551546	6.087568918	6.03562171	6.824487839	7.058099988	7.203475258
BANK1	9.366215101	9.705202106	9.053323162	6.71744338	6.704636844	8.17902828	8.112168406	8.039094516	6.719908987	6.867439373	6.590158856
BANP	8.103550093	8.021002155	8.073290048	8.652274951	8.922403032	8.268251912	7.965761201	8.167232465	8.955228515	8.913511776	8.915117506
BAP1	9.120678526	8.899130304	8.859950918	7.723524432	7.40814289	8.697561864	8.474298127	8.622886437	7.883351996	7.639528835	7.79253654
BARD1	7.260609092	7.01439993	7.273776954	6.370880915	6.59398414	6.833446736	7.502760214	6.768938564	6.253637623	6.150811476	6.992349245
BARHL1	7.593054922	7.692113304	7.916745333	8.375087231	8.573044992	7.950987402	7.91230855	7.89612045	8.839093534	8.734946663	8.534824221
BARHL2	7.52433798	7.535827462	7.482767629	8.547122033	8.547334145	7.787530414	7.488555176	7.605323943	8.738369285	8.678089516	8.765189943
BARX1	8.178231604	8.296264668	8.173212401	8.32713044	8.15499021	8.220900651	8.043962339	8.239398042	8.505740112	8.595026184	8.624035077
BARX2	7.464488572	7.592098188	7.448578885	8.016769295	8.12046081	7.570607133	7.433034546	7.539957502	7.994070528	8.030065658	7.89782126
BASP1	9.512539005	9.429825157	9.376422799	9.200616657	9.380731613	9.529040056	9.779192404	9.560344299	9.473590086	9.409770654	9.494179569
BATF	7.381785182	7.292404465	7.454274614	8.050273129	7.998787853	7.520367243	7.217298583	7.444907209	7.993068583	8.101193069	8.160753835
BATF2	7.633772662	7.468249321	7.528344708	8.853565319	8.584778395	7.78050696	7.497404792	7.64714179	8.46650477	8.866221818	8.789895496
BATF3	7.469739486	7.565163023	7.496366474	8.006550496	8.050071742	7.531576406	7.376689765	7.437585638	8.065857695	8.242392907	8.095502518
BAX	9.183265667	9.303143722	9.178498041	8.90660804	9.13379725	9.36427038	9.253490607	9.259875054	9.174541245	9.048860101	9.126583168
BAZ1A	9.581236366	9.670794316	9.622637567	6.764977716	6.586886314	9.693993903	9.947489374	9.659012956	6.986171983	6.305693334	6.903363708
BAZ1B	8.560298438	8.627862147	8.490249211	7.918726115	7.830914448	8.356711654	8.522510915	8.188954727	7.936349371	7.718162951	7.468876518
BAZ2A	10.75279876	10.73916459	10.56408279	8.542656593	8.310121955	10.23675569	10.04821438	10.23474559	8.690228505	8.347076518	8.351416319
BAZ2B	8.958268498	8.942936696	8.570060608	7.145066014	7.03180319	8.828885412	9.752086223	9.378611325	7.4751011	7.038194717	7.163106205
BBC3	8.077803772	7.988911865	7.950351762	8.373539466	8.357741126	7.996801112	7.658011491	7.902664529	8.529614052	8.516874014	8.616493708
BBOX1	4.655723904	4.743520354	4.706806799	5.229311046	5.495151492	4.750134819	4.663777249	4.55640489	5.368981316	5.27000559	5.445259897
BBS1	6.916130261	7.280557365	7.069154351	6.701770822	6.54910079	6.753871915	6.665904355	6.823227104	6.813794015	6.971463083	6.590518188
BBS10	5.922483314	5.968786581	6.01191377	5.838195439	5.783231379	5.987309495	6.339048283	6.148645374	5.827371923	5.689385831	5.714152083
BBS12	5.390698635	5.480103521	5.495436145	5.903722809	5.641574929	5.663905305	5.58453564	5.460336298	6.2246886	5.870263604	6.140923818
BBS2	7.973582577	7.970249721	7.912733684	7.425669101	7.192381593	7.813409249	8.240781794	7.970623614	7.150183926	7.364397337	7.206193875
BBS4	6.288447159	6.249090692	6.364866544	6.374406593	6.210344052	6.49365694	6.674333529	6.517200091	6.169472084	6.325667039	6.439116111
BBS5	5.480326526	5.460139677	5.508362094	5.918219246	5.903679433	5.419714162	5.471457371	5.402827892	5.522802773	5.945038771	6.095012956
BBS7	6.269482048	5.979529231	5.914354035	5.941993634	5.763847079	5.780438718	5.975263322	5.811753582	5.733530599	5.721605069	5.760883582
BBS9	8.14309235	8.087547703	8.06183019	6.557877209	6.914205719	7.647026633	7.955498802	7.783757839	6.539160362	6.554923395	6.423606742
BBX	9.639581289	9.74707013	9.645746684	7.517850452	7.459308656	9.203668566	9.536787275	8.958155376	7.449907976	7.312764994	7.332743732
BCAM	6.099301517	6.196378851	6.209710688	6.386202224	6.794727767	6.28024184	6.089093438	6.147982295	7.028071814	7.162371186	6.823851242
BCAN	6.746124623	6.886245286	6.934917457	7.739699614	7.970750141	6.808191958	6.451755111	6.949114669	7.841268703	7.928121561	8.069251039
BCAP29	8.015582312	8.206945968	8.277026971	7.492958739	7.275528589	7.707179647	8.13751377	7.79461731	7.419640011	7.346442816	7.528297818
BCAP31	9.106641452	9.036989535	9.203729734	7.695583266	7.952508301	8.854082945	8.57655237	8.819840592	8.197024976	7.912326516	7.601533105
BCAR1	6.85613914	6.802193217	6.798633802	7.419446192	7.622703448	6.679817862	6.743555359	6.742491341	7.817808698	7.422670319	7.733794946
BCAR3	6.718156099	6.646695503	6.362026211	7.049674327	7.309730991	6.547824583	6.334548612	6.709511214	7.47814671	7.333271656	7.453369417
BCAS1	6.281583275	6.350735909	6.231701199	7.340366431	7.261737652	6.219848073	6.250887694	6.291703005	6.93659083	7.566876026	7.001318111
BCAS2	9.664754813	9.634217518	9.669317374	8.033411989	7.911314083	9.303175694	9.106329997	9.03948663	7.876670417	7.788104914	8.035535938
BCAS3	9.198540809	9.034383561	8.930586556	7.563615766	7.620241823	9.009884589	9.023640707	8.979485217	7.925768047	7.737713798	7.615762039
BCAS4	8.446673922	8.66618849	8.654553689	8.556103653	8.840504147	8.438330283	8.081552675	8.289613176	8.84039714	8.979107896	8.975547077
BCAT1	6.756783133	6.420527877	6.620645055	7.322676299	7.034050603	6.69540927	7.285476201	6.713558356	6.735738782	7.060512206	6.923588959
BCAT2	6.77016832	6.993312058	7.057915932	7.230058875	7.502601114	7.2913457	7.221973721	7.089275679	7.408890149	7.412925449	7.373822187
BCCIP	6.978332935	7.036404425	7.000845082	6.5841688	6.461061926	6.996241848	7.23621515	6.999515263	6.35468488	6.097796178	7.0402678
BCDIN3D	6.471759742	6.455623127	6.422513909	6.977920979	6.788333345	6.780441343	6.470569402	6.782867198	6.918577055	7.068122603	7.114408673
BCHE	4.255455412	4.28390696	4.256965345	4.701671032	4.786016031	4.319162685	4.273351768	4.318005851	4.531063253	4.524464926	4.602712225
BCKDHA	9.516541165	9.60855978	9.799696074	8.151072368	7.978372981	8.561513259	8.692883966	8.691994704	8.222553427	8.359955959	7.970732888
BCKDHB	7.597136331	7.576129062	8.034094634	7.029386625	6.963346958	7.293968172	7.140533279	6.763557643	6.584495052	6.666316332	6.707469573
BCKDK	8.097521257	8.242416727	7.969634025	6.803976093	7.00370342	7.729681917	7.899622777	8.043229657	7.280278964	7.362820526	6.974334279
BCL10	8.632090049	8.782077604	8.797288646	7.292275613	7.203827598	9.009968542	9.212403972	8.976022743	7.41781033	7.451516107	7.268546679
BCL11A	8.902546961	9.316860757	8.823274879	7.600150793	7.88463455	8.431990606	8.368349306	8.291225965	7.789474958	7.587567518	8.023033519
BCL11B	9.318486321	9.543027952	9.603515079	8.263569682	8.339609534	9.270517262	9.011202092	9.104955125	8.743070587	8.087961334	7.931913482
BCL2	9.023515963	9.020724425	9.129944959	8.017793885	8.027480311	9.356273686	9.037371239	9.446398921	8.449689297	7.852922705	7.902947858
BCL2A1	8.04187814	8.024164514	7.803291626	6.531195848	7.014768134	8.22974172	8.673121769	8.40740799	6.965518804	6.315611513	6.952962511
BCL2L1	8.311076187	8.318899768	8.042513018	7.643885043	7.618040389	7.937161925	7.909389102	8.073718496	7.683499965	7.560279329	7.503475951
BCL2L10	6.524038594	6.453802337	6.567003849	6.701646084	7.059917639	6.459218477	6.312957357	6.208207041	6.972807514	6.965241729	7.01720929
BCL2L11	8.911403973	8.674545394	8.669777974	7.432074149	7.54259856	8.879031796	8.896889392	8.902076595	7.739314823	7.442031159	7.734838306
BCL2L12	6.979579532	7.113492147	7.206711591	7.630434595	7.761890259	7.261577826	7.024796154	7.204551582	7.740131539	7.980499492	8.060960672
BCL2L13	7.783554874	7.696501617	7.664404616	7.362750405	7.136406741	7.194481091	7.61773192	7.237965176	7.181231783	7.282337864	7.187530234
BCL2L14	6.612091481	6.556840154	6.43647836	7.212267773	7.242612032	6.558485002	6.568652355	6.49569836	7.121087948	7.147571277	7.220542783
BCL2L15	5.490345494	5.602344039	5.527179835	6.466217613	6.400654051	5.620850294	5.778408353	5.580302291	6.193868314	6.58012739	6.813268142
BCL2L2	7.063330361	6.975412372	7.022212438	7.223017025	7.325926029	6.811471031	7.17926222	7.231029129	7.306918391	7.594750071	7.393828026
BCL3	9.666887934	9.682422306	9.713097775	8.349210447	9.240893867	9.60542581	9.841037491	9.734088044	9.680208301	9.246754847	9.074837215
BCL6	9.572768428	9.630713063	9.30940814	7.41079052	7.769884115	9.664580614	9.837008151	10.16612541	8.215499025	7.17422663	7.205265427
BCL6B	6.608974788	6.410700648	6.76105917	7.373578615	7.155010456	6.639891993	6.315182175	6.602626125	7.184448916	7.251378258	7.482533708
BCL7A	8.029132595	8.079943387	8.088406649	8.143908662	8.513155141	8.138829824	7.756322804	7.895217783	8.41990963	8.607075045	8.444973448
BCL7B	10.38603491	10.46190912	10.53408885	7.346460545	7.559262359	9.881921521	9.516692827	9.729953765	8.446554003	8.041494889	7.611637167
BCL7C	8.520100042	8.632871636	8.540538795	8.759109217	8.510613859	8.390117354	8.312615261	8.340464353	8.775636616	8.835295663	8.756165992
BCL9	8.210700563	8.328172252	8.307341997	7.67290616	7.504572725	7.879907896	7.683036706	7.657389913	7.487703393	7.816382108	7.842721185
BCL9L	8.957705699	9.099981563	9.00365845	8.806356283	8.794698529	8.860158939	8.400981873	8.60655697	8.591840209	8.965235956	8.617280114
BCLAF1	10.62026565	10.37075278	10.37685252	7.460881782	6.572227271	9.59531903	9.934625596	9.670684572	7.521985107	7.199878429	7.346531462
BCMO1	5.383610989	5.360420466	5.404123131	6.285921865	6.363819373	5.453497825	5.194867145	5.295329976	6.495923763	6.359721453	6.242223301
BCO2	5.720067738	5.666725352	5.639437669	6.693068724	6.480520415	6.031761294	6.069442248	5.837299939	6.384956388	6.819668183	6.854494418
BCOR	8.128293401	8.179630474	8.167468326	6.866153802	7.170375773	8.010242756	7.988889149	7.811560939	7.290258508	6.998996527	6.849986753
BCORL1	7.193889992	7.106421608	7.083851588	7.434828356	7.314959304	7.084447005	6.733910159	6.822500726	7.637900008	7.70608154	7.46454575
BCORP1	5.748649072	6.127845789	5.903129882	5.034532679	5.614462504	5.050196932	4.72152578	5.017004347	5.639813871	5.906804031	5.779803387
BCR	9.210286574	9.267088632	9.150313419	8.861955364	8.737774629	9.731719535	9.120893617	9.16764645	8.867979837	8.892603528	8.419934904
BCRP2	8.098614533	7.992361171	8.247254021	8.721407934	8.752201525	8.254037337	7.760705302	8.028738309	8.888417614	8.859732446	8.746428507
BCRP8	7.620908928	7.535329817	7.72896807	8.743215363	8.587012376	7.90101771	7.615982682	7.79904844	8.718070455	8.949593293	8.90454732
BCS1L	7.34381641	7.417388416	7.431681455	6.440354272	6.712389431	6.92301841	6.907611763	7.026534508	6.87625908	6.768965022	6.957403902
BDH1	6.579362707	6.48929084	6.724254622	6.357455235	6.331081748	6.738376041	6.4856635	6.878198088	6.67308996	6.601910409	6.456081663
BDH2	5.601660865	5.887583757	5.882577026	5.871631762	5.803970928	5.931047129	6.568980614	6.066420757	5.69881855	5.813506732	5.742938594
BDH2P1	6.434331319	6.937638646	6.579560326	6.800110407	6.814524789	7.161484639	7.611969066	6.967721965	6.887634931	6.242842554	6.710269197
BDKRB1	6.54975387	6.509814584	6.500986839	7.499303778	8.016752584	6.70639241	6.416993392	6.588008479	7.638464876	7.711033666	7.651683181
BDKRB2	6.93459906	6.95006009	6.755648724	8.34994906	8.399132633	7.331696261	6.889084099	7.144535889	8.42262407	8.25431531	8.316611899
BDNF	5.198297695	5.346591739	5.477929842	5.802761909	6.168636019	5.337853785	5.393594673	5.154457643	5.947883526	6.0621541	6.253231047
BDP1	8.950243502	8.915194362	8.892798367	7.734236562	7.910564892	9.184397083	9.461212684	9.261345811	7.793617177	7.458560782	7.849023463
BEAN1	7.081288728	7.075847299	6.908148787	8.233130007	8.275553681	7.229484517	7.17735407	7.168526486	8.141027418	8.245973652	7.678106385
BECN1	8.252074043	8.307401201	8.283352321	6.622171917	7.045705065	8.317340251	8.394715626	8.463066562	7.321477182	7.135288599	6.76242855
BEGAIN	6.275016362	6.320255403	6.57248499	7.021524145	7.153866123	6.508781993	6.035575526	6.446153649	7.124141995	7.364931311	7.387629644
BEND2	6.188371251	6.874846137	6.433471941	6.821914259	6.462281404	6.121645406	6.45073783	6.862004975	6.800058622	6.891297661	6.375393978
BEND3	7.446413396	7.389084915	7.455664221	7.838409772	7.605309126	7.405830728	7.340313016	7.140758209	7.971457335	7.918934774	7.926479841
BEND4	6.870561998	7.185817001	7.045541261	7.508095831	7.481573425	7.09890586	6.946976434	6.867155163	7.585315617	7.481638002	7.427999977
BEND5	5.866952475	6.028303927	6.059900339	6.237988113	6.305153395	5.874541251	5.888395012	5.946740216	6.058238557	6.337873404	6.475258398
BEND6	4.975749397	4.9011179	4.864810146	5.633405053	5.691520207	5.008935017	4.854973076	4.854349792	5.354402791	5.434591534	5.60467331
BEND7	5.309026991	5.567098187	5.538556787	6.119748341	6.26680715	5.441636187	5.446653247	5.526118904	6.302384859	6.404809477	6.886525761
BEST1	7.048792001	7.255141903	7.071612524	6.82658662	6.910600761	6.682067591	6.929317595	7.05044728	6.832687516	7.152538369	6.964306208
BEST2	5.890169412	5.895804278	6.029664901	6.170207502	6.277633326	5.950627046	5.883584162	5.897876911	6.439350529	6.407787806	6.511578729
BEST3	4.970292293	4.972035481	5.015055937	5.557964489	5.611892367	5.034642719	4.984990296	4.942430052	5.607531537	5.456838997	5.655248775
BEST4	6.679747501	6.651209589	6.521779441	7.17300747	7.266486729	6.73431672	6.784006597	6.83541884	7.231403606	7.322730371	7.267432798
BET1	6.465918975	6.161014951	6.479261285	6.471127293	6.45744819	6.430915812	6.575548323	6.23604673	6.376582116	6.40373809	6.239409499
BET1L	8.001785357	8.088480855	8.100988157	6.589779963	6.912242672	8.202966171	8.078172161	8.053790156	7.153643226	7.145687644	7.04785462
BEX1	5.443921544	5.610233496	5.67975313	6.031688523	6.315401389	5.438475839	5.362224392	5.252881111	6.39511594	6.250887694	5.982961641
BEX2	7.2606185	7.495383376	7.954626728	7.428561173	7.649105253	7.668962966	7.929767331	7.582390409	7.747749908	7.791625258	7.065626162
BEX4	8.850071167	8.858838895	8.747138962	7.155992036	7.613037999	8.504529029	8.614455878	8.535084819	8.417126766	7.686864657	7.113679665
BEX5	5.574973403	5.611594383	5.445974943	6.157255974	6.14533508	5.549893997	5.873335829	5.76826109	6.377602717	6.232219439	5.791040433
BFAR	8.585319373	8.435566091	8.285513191	7.075864173	6.877597029	8.038084947	8.314855105	8.22905912	6.855753048	7.156083076	6.721605069
BFSP1	5.793471957	5.794116899	5.628960189	6.625144803	6.291428588	5.768771872	5.383610989	5.655363279	6.538036796	6.162830365	6.589859344
BFSP2	6.478504309	6.43433966	6.495845436	7.511689411	7.566693402	6.495103511	6.278462468	6.448027077	7.361908693	7.754540145	7.50156653
BGLAP	7.801954041	7.690179607	7.685968173	8.263428839	8.369558089	7.752454243	7.583368645	7.752534526	8.249004387	8.570284557	8.298222986
BGN	6.782644451	6.844875206	6.955010505	7.654485665	7.653540167	7.128530558	6.764778725	7.029287227	8.200825059	8.0998948	7.757776676
BHLHA15	8.50245393	8.316041628	8.148090117	9.025809526	9.237358167	8.417430613	7.764725656	8.145779337	9.022903175	8.712403188	9.270634057
BHLHA9	8.11613599	8.108717849	8.098005756	8.595988436	8.675741847	8.330769017	7.958494716	8.159523232	8.961232623	9.095080492	8.824433739
BHLHB9	5.534677954	5.505481304	5.600763335	6.350104696	6.378039896	5.606978105	5.465811254	5.548994482	6.37631296	6.449589436	6.462950451
BHLHE22	6.457060701	6.585384728	6.477324381	7.167929898	7.082255509	6.640428606	6.528727582	6.496481524	7.135750322	7.108325811	7.102448178
BHLHE23	7.741507435	7.867723528	7.897028605	7.760067885	7.981338944	7.775630032	7.699662673	7.740138286	8.198199455	8.066568215	8.088295333
BHLHE40	10.50377606	10.46777874	10.45426844	8.09985799	8.710741012	9.828541144	9.812847947	9.801406048	8.652468569	8.322595187	8.248145799
BHLHE41	7.266158738	7.216115299	7.172277481	7.457553253	7.833649128	7.393141584	7.055098019	7.230635342	7.859907447	7.746615088	7.965495717
BHMT	5.90265006	5.906722271	6.12977757	6.926011283	6.927505394	6.08584102	6.057777333	6.071728352	6.73653723	6.994036575	7.090091242
BHMT2	5.98417006	5.958381032	6.053491515	6.847721366	6.816113265	6.031778935	5.78085337	6.085086804	6.606756081	6.522182896	6.319626965
BICC1	5.205318218	5.314152694	5.392568155	6.34823419	6.211101775	5.25948718	5.199966742	5.331411432	5.756719096	6.040193264	6.547286326
BICD1	7.820498107	7.954370819	7.881842009	8.048672137	8.181813185	7.68433486	7.716833177	7.733395018	7.971698736	8.31308256	8.127942749
BICD2	8.765140205	8.652902321	8.628168458	7.528797894	7.303735093	8.110692097	8.214620258	8.405098905	7.908026271	7.760699991	7.849955488
BID	10.0689126	10.04002938	10.28336621	8.645698056	8.791104268	9.508793083	9.899320666	9.811987929	8.785704203	8.84623943	8.79845884
BIK	6.492250584	6.303177978	6.478093305	7.066648934	6.914983017	6.459092217	6.533477693	6.439875753	7.063675503	6.825480371	6.675392543
BIN1	9.204695846	9.444733317	9.336477549	8.648080702	9.169646955	9.270416811	8.97760621	8.911955173	9.079458116	9.397717411	9.14251555
BIN2	10.98680199	10.7998725	10.65152713	7.982480272	7.739591613	10.20388631	10.31462856	10.31015832	8.313141528	8.102679125	7.906265292
